()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker>帕斯卡</Speaker>||<BIN>247</BIN><黑屏2>:當時萊柯已經離開了，我為了想證明自己比他更強，所以就使用了那些數據，也因此開發出了AR小隊那些完全不同的人形。+雖然我有想過這可能是「威廉」想再次讓我去復活露尼西亞的手段，但是當時的我沒有去顧忌那麼多……+我也沒想過他們真的會對萊柯下手……
()<Speaker>哈維爾</Speaker>||:妳覺得萊柯是故意被殺死的？
()<Speaker>帕斯卡</Speaker>||<黑屏1>:我也一直在追尋真相，但是「威廉」一直都怨恨我們，他要向萊柯報復也再正常不過了。+我想萊柯開發的伊萊莎也一定和「威廉」有關，說不定和露尼西亞也脫不開關係。
NPC-Havel(0)<Speaker>哈維爾</Speaker>||<关闭蒙版><BIN>166</BIN><黑屏2>:也就是說妳和萊柯雖然拒絕了「威廉」，但在多年後還是不知不覺地替他完成了他想要你們做的事。+既然你們都被他擺佈成了這樣，我想妳應該對這個人是誰心裡有一些數了吧。
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:我私底下也調查過，的確發現了在研究所內曾經有一個被除名的研究人員，名字就是「威廉」。+但是這個人的資訊除了我剛才說的那些外，就再也挖掘不到更多的內容了。
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(0)||:所以妳覺得就是這個人？
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:我覺得可能性已經非常大了，所以如果是你的話，應該可以查到，然後想辦法把他抓起來吧？
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(0)||<BGM>BGM_Empty</BGM>:很可惜，這個人我們也調查過。+但是他在好幾年前就已經死了，甚至比露尼西亞死得還要更早。
NPC-Havel(0);NPC-Persica(1)<Speaker>帕斯卡</Speaker>||<震屏>:什……麼？
NPC-Havel(1)<Speaker>哈維爾</Speaker>;NPC-Persica(1)||:只是有人在假借這個「威廉」的身份在進行行動罷了。+而原本「威廉」的資訊也被全部抹除了，仿佛這個人就從來不曾出現過一般。+這樣的情報操縱能力，一定不是一個普通研究員可以做到的。
NPC-Havel(1);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BGM>BGM_Brain</BGM>:那……那個「威廉」到底是誰？
NPC-Havel(0)<Speaker>哈維爾</Speaker>||<黑屏1>:我們總有一天會知道的，而且我想這天很快就會到來。
()<Speaker></Speaker>||<BIN>97</BIN><黑屏2>:車輛駛進了一座大廈中，哈維爾從車上下來，向周圍的黑衣人擺了擺手。+幾個強壯的保鏢坐入汽車，帶著帕斯卡朝大廈的更深處開去。+哈維爾歎了口氣，看著巨大的落地玻璃窗外的景色。
NPC-Havel(1)<Speaker>哈維爾</Speaker>||:也是時候了。
NPC-Havel(1)<Speaker></Speaker>||:仿佛是為了響應這句話，他的手機突然響起。
NPC-Havel(0)<Speaker>哈維爾</Speaker>||:…………+對，是我。+人已經確保安全了，我會使用最高的規格保護她的。+她該說的都已經說了，和我們的猜測基本也一致。+嗯，我已經知道了，安全局下達打擊命令了。+接下來莫斯科會掀起腥風血雨，不過這也是那個老頭願意看到的。+你搭檔的眼光很厲害，沒想到光靠人形就真的可以擋住那些士兵。+這算是一筆划算的投資，不過其中的一半可是要由你來出。+是啊，差不多也該讓我們的老朋友呼吸下新鮮空氣了。+是的，都還在計劃內，不過我要提一個額外的要求。+那個地方的研究資料，不能全部交給安全局。+嗯，嗯，遺跡署的人會很不開心的，我們得考慮未來的局勢。+財閥的資金已經從那個衰敗的國家流向歐洲了，我想他們接下來會有新的動作。+那些邪教現在還沒空去處理，不過我會關注接下來資金流入的走向，不用擔心。+是的，所以就看那個聯盟會如何成立了。
NPC-Havel(0)<Speaker></Speaker>||<黑屏1>:聽著對面的話語，哈維爾低聲地笑起來。
哈維爾()<Speaker>哈維爾</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:真是讓人期待啊。
