()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:幾分鐘前。
RO635(0)<Speaker>指揮官</Speaker>||:至少沒死。還有一分鐘就要爆炸了，我們趕緊離開這裡。
RO635(0)<Speaker>RO635</Speaker>||:沒問題，我們馬上突破出去，404的兩位也請跟緊我們。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:當然。
SL8(1)<Speaker>SL8</Speaker>||:啊，指揮官不用勉強。來，我抱著你跑比較快！
SL8(1)<Speaker>指揮官</Speaker>||<黑屏1>:等等，我還不至於……算了，拜託了。
()<Speaker></Speaker>||<黑屏2><BIN>234</BIN><SE1>Explode</SE1>:在AR小隊的優勢火力下，格里芬一行人終於突破了軍方小隊最後的火力封鎖。+在離開基地內側不久，爆炸聲便接踵而至，大量的海水隨著炸開的缺口洶湧地沖進基地內。+人形們帶著我提早爬上了上層的空間，從而避免了被海水沖走的命運。+但是顯而易見，還在基地中的士兵們就沒有那麼幸運了。
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||<BGM>BGM_Empty</BGM>:沒想到軍方最後真的被我們消滅了……雖然是以這種形式。+真是難以想像……
NPC-Kalin(4)<Speaker>指揮官</Speaker>||:但是安潔和忤逆還在下面，M4也聯繫不上。+海水這麼倒灌下去，基地的下層都會被淹沒。
NPC-Kalin(1)<Speaker>格琳娜</Speaker>||:她們一定能夠有辦法脫身的。
NPC-Kalin(1)<Speaker>指揮官</Speaker>||:希望如此吧，我們在這裡現在也做不了什麼了。+這些孩子是？
NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:剛才404小隊的人形將她們帶回來的。
NPC-Kalin(3)<Speaker>指揮官</Speaker>||<BGM>BGM_Room</BGM>:……涅托的幼體嗎？+這就是安潔她們提早進來調查的目標？
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(3)||<SE1>RunStep</SE1>:指揮官！
NPC-Jason(1)<Speaker>指揮官</Speaker>;NPC-Kalin(3)||:原來你還活著啊，K。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(3)||:你是盼著我出些事故嗎。
NPC-Jason(1)<Speaker>指揮官</Speaker>;NPC-Kalin(3)||:你來得正好，這些是安潔讓404小隊帶出來的孩子，你應該知道些什麼吧。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(3)||:這是在基地下面發現的那些孩子嗎。
NPC-Jason(1);NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:是的。
NPC-Jason(1)<Speaker></Speaker>||:K看著躲在UMP45身後的小涅托，眼神有一些複雜。
NPC-Jason(1)<Speaker>指揮官</Speaker>||:有什麼能跟我們解釋的嗎，史塔西的凱恩先生。
NPC-Jason(1)<Speaker>K</Speaker>||:這些孩子並不是我們的首要目標，確切地說我們一開始並不知道她們的存在。+不過我在南歐尋找帕拉蒂斯的線索時，有看到過涅托幼體原型的相關訊息。+那是一份關於一座非法的孤兒院的情況報告。
NPC-Jason(1)<Speaker>指揮官</Speaker>||:孤兒院？
NPC-Jason(1)<Speaker>K</Speaker>||:對，德國南部一家孤兒院。我們相信是帕拉蒂斯開始他們實驗的地方。這些孩子們都是帕拉蒂斯製造的克隆體。
NPC-Jason(1)<Speaker>指揮官</Speaker>||:為了什麼目的？
NPC-Jason(1)<Speaker>K</Speaker>||:帕拉蒂斯嘗試製作能連接網絡的人類來進入OGAS系統。+但這僅僅停留在情報官員的猜測中，沒人確切地知道帕拉蒂斯進行到哪一步了。
NPC-Jason(1);NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:人類意志構成的心智空間？+這……不太可能吧。
UMP45Mod(0)<Speaker>UMP45</Speaker>;NPC-Kalin(4)||:可惜這是真的，我已經在實驗室裡見識過了。
UMP45Mod(0)<Speaker>指揮官</Speaker>||<BGM>BGM_Empty</BGM>:是嗎……+太奇怪了，帕拉蒂斯到底在製造什麼？
()<Speaker></Speaker>||<SE1>Explode</SE1><SE2>Alarm</SE2><震屏>:轟，轟，轟！+地面又開始震動起來。
NPC-Kalin(2)<Speaker>格琳娜</Speaker>||<BGM>BGM_Brain</BGM>:下面的戰鬥還在繼續嗎？
NPC-Kalin(2)<Speaker>指揮官</Speaker>||<黑屏1>:至少說明有人還活著。
()<Speaker></Speaker>||<BIN>227</BIN><黑屏2><黑屏1>:遠處藍色的輝光從潛艇基地裡升起，一直延伸到天空的盡頭，比之前任何一次都要顯得明亮。
