()||<BIN>22</BIN><BGM>BGM_Room</BGM>:…………
NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:梭魚系統在1983年的《日內瓦公報》後就被完全放棄了，而歐伽斯輔助系統更是屬於最高機密被封存了起來。+你覺得為什麼鐵血會使用歐伽斯的底層協議作為控制基礎？+萊柯又何德何能可以接觸到機密程度如此之高的東西？+想想吧，和遺跡有關的，和你們也有關的組織。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:是的……90wish……我已經想到了。
NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:看來你還不蠢。+他們之所以沒有繼續追殺你們，除了是不敢在我臉前過於囂張之外，另一個原因多半就是利用了萊柯的研發衝動和與你的不和。+根據我的推測，歐伽斯系統被他們偷偷送到了萊柯手上，萊柯一定有了辦法啟動了它……+但他發現了真相之後又用了什麼辦法鎖定使其無法啟動。+而有人……覺得只要萊柯有辦法啟動，他也一定辦得到。+這個時候萊柯就沒有利用價值了。
NPC-Ange(0)<Speaker>安潔</Speaker><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:同時軍方又需要一個合理的理由讓鐵血陷入混亂，這樣才有機會取回歐伽斯系統……+結果就是那場蝴蝶行動…………+但是為何不是那個時候就把歐伽斯輔助系統搬回來呢？
NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:要是那時搬不回來，或者說搬回來也沒用呢？
NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:萊柯研究的結晶……伊萊莎……在那個時候才剛剛完成啟動………
NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:軍方也好，90wish也好，他們在等待鑰匙的成熟。+他們需要讓歐伽斯自己啟動起來，而不是經過他們親自操縱，有什麼比一個會自我成長的AI更合適這個角色呢？+而且這樣子一來，安潔你的上司就沒有任何藉口可以下手了。
NPC-Ange(0)<Speaker>安潔</Speaker><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:嘖……我馬上重新和局長聯繫。
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:不要低估你的領導，我的安潔小姐。+我能想到的，他們也能想得到，你們克格勃的老米沙可不是因為澤林斯基會隨便抓抓示威民眾和小偷就把那個位置給他的。+只是政治這個東西，有時比子彈更危險，他們需要一個藉口和契機。
NPC-Ange(0)<Speaker>安潔</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:你是指……
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:撲滅一場燃油大火，最好的方式是在旁邊製造一場更大的爆炸。
NPC-Ange(0)<Speaker>安潔</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:“耗盡氧氣，熄滅火焰”………+我知道，但是該怎麼做？局長已經否決了我提出的轟炸計劃……
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:他們坐在那個位置上，所以有些事情沒法做。+不過像我這樣沒什麼頭腦的人，正好可以被當槍使。
NPC-Ange(0)<Speaker>安潔</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:以你的人脈，應該不會被局長當槍使吧？
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:這可不好說。+現在已經有一個安全承包商的老闆關進去了，再關一個武器製造商的也不嫌多。
NPC-Ange(0)<Speaker>安潔</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:你要是再這麼繞著圈子說話，下次我不會再幫你放汽車輪胎的氣了。
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:好好好，小姑娘，我說重點。+我想說的是，因為我是個愛國者，所以我可以為你提供支援。
NPC-Ange(0)<Speaker>安潔</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:你能給我什麼？
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:我可以為你提供比你想象的更加大的爆炸，但是代價是你極大機率的死亡。
NPC-Ange(0)<Speaker>安潔</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:我已經死過一次了。
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:如果你沒死，那得背負一生叛國的罵名，這可比死難承受多了，小姑娘。
NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:…………
NPC-Ange(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN>:安潔……
NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:我接受。+只要能阻止他們，什麼代價我都能承受。
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:很好，我會想辦法把東西用空投給你。
NPC-Ange(0)<Speaker>安潔</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:是什麼東西？+要比轟炸更厲害……還能通過空投獲得的話……+難道說……？
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:是的，就是那個東西。+等你到手了自由發揮想象吧。
NPC-Ange(0)<Speaker>安潔</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:……用了這個，被當做叛國賊已經是最幸福的結局了吧。+難道這就是你說的契機和藉口嗎？
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:非常完美的藉口，不是嗎？卡特會百口難辯。
NPC-Ange(0)<Speaker>安潔</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:你真是……比我想象的還要狡猾。
NPC-Ange(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:被年輕的姑娘誇獎會讓我膨脹的。+對了，還有另一個要求，對於歐伽斯如何重新啟動我也很感興趣，所以盡可能把萊柯的作品帶回來。+和軍方一起毀掉的話未免也太可惜了。
NPC-Ange(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN>:我也希望你能把它帶回來，這是萊柯最後的作品了。
NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN><黑屏1>:我可以保證那些人無法得到它。+要帶回來的話……你們就多為我祈禱吧。
