()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
NPC-Zielinski(0)<Speaker>澤林斯基</Speaker>;NPC-Havel(0)||:這不是危言聳聽，指揮官，我的工作裡遇到過無數次這種選擇，我都毫不猶豫地執行下去。+你之所以現在還活著，是因為我們對你的觀察。+你在剛才的行動大難不死，而且保守了秘密，這一切我都知道了。+你展現了你勇氣、頭腦還有意志，你對我們確實有不小的價值……應當為我們的國家，和更高級的事業去服務。
NPC-Zielinski(0)<Speaker>指揮官</Speaker>;NPC-Havel(0)||:……<c>比國家更高級的事業？<c>我沒得選，對嗎？<c>我不在乎，只要我還能留在格里芬。
NPC-Zielinski(0)<Speaker>澤林斯基</Speaker>;NPC-Havel(0)||<分支>1</分支>:你也能看就會明白的，你和我，都將會成為歷史的奠基者。
NPC-Zielinski(0)<Speaker>澤林斯基</Speaker>;NPC-Havel(0)||<分支>2</分支>:你可以選擇拒絕，我們會抹消掉一切，當這裡什麼都沒發生過。+當然，連同你獲救這件事一起……
NPC-Zielinski(0)<Speaker>澤林斯基</Speaker>;NPC-Havel(0)||<分支>3</分支>:你的確會留在格里芬，你的工作不會變，改變的只是你的一部分客戶。
NPC-Zielinski(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:我想……澤林斯基，讓我們直接說正題吧。
NPC-Zielinski(0)<Speaker>澤林斯基</Speaker>;NPC-Havel(0)||<黑屏1>:我將委託你新的工作，以國家安全局的名義，當然，這是個保密工作，我們也會提供對應的酬勞和你所需要的情報。+如果你能肩負得起我們的期望，也許格里芬“恐怖主義集團”的身份也不是不可以被抹去。相信你也會擔心為了保護你們而坐牢的某人的安危吧。+……嗯，你的眼神告訴你，你已經接受我的委託了。+那麼指揮官，我來告訴你你的第一份工作是什麼吧。
()||<BIN>9</BIN><黑屏2>:也許我知道他要說什麼……
澤林斯基()<Speaker>澤林斯基</Speaker>||<黑屏1>:國家安全局的二級特工，代號“安潔莉婭”，現在背叛了我們，她違抗命令攜帶了重要情報和安全局的人形，然後完全失蹤了。+這是紅色安全威脅案件，你知道新的工作是什麼。+調查她，找到她，證明你對我們還是有用的，然後我們會決定你接下來做什麼……+當然，不只是這些，指揮官，我知道你已經看過那些機密情報了，+OGAS、主腦、還有軍方的計畫，工作遠遠還沒有結束。+指揮官，你將面對的是全新的機會，也可能……
()||:……我知道，也可能是更深一層的地獄。+……十分鐘後，我走出房間。
()||<BIN>97</BIN><黑屏1>:原本談話會持續更久，但哈威爾說我需要休息……+是的，我現在真的需要休息。+但有些東西是無法被消除的……+我編了很多故事，但有些真相我永遠不會知道，除非……+……我親手挖掘到它。
