()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:…………20分鐘後，M16在工廠內連接終端。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:不行，系統被鐵血鎖死了，我無法調查其中的內容。+而且安全等級太高了，我不推薦強行破解。+一旦過程出現失誤，除了引來敵人，裡面的檔還有被銷毀的風險。
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:果然啊……裡面是用最高許可權鎖死的……+沒辦法了，M16……+看來，我們只能使用備用計畫了……
 ()||:……M16拿出一根電晶體。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||<BGM>BGM_Empty</BGM>:就是這個吧？+再注射一次沒問題嗎？上一針已經讓我覺得……很難控制住自己了。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||<BGM>BGM_Truth</BGM>:畢竟是【傘】病毒啊……雖然已經經過改良了。+你在資料庫外注射的第一針裡，只有最低劑量的納米機器人。+它能給你帶來有限的鐵血許可權，對你心智的改寫速度也十分有限。+如果你在12小時內能回來的話，我還是有辦法修復你的……
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:還制定了這麼為我著想的計畫，我真該好好謝謝你……
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:那個病毒，是根據AR15的樣本修改的。+雖然使用後，你會被鐵血發現，但在指揮官的梯隊保護下，你不會有太大危險。+但是，這第二針……
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:哼……就沒有之前的那麼溫和了嗎？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:根據我的研究，【傘】病毒的設計初衷，就是為了改寫人形的心智雲圖，使其受鐵血的控制。+其中對雲圖的破壞，如果完成後是不可逆的。+簡單說來……這第二根電晶體，裡面的劑量，足夠讓你迅速變成一個鐵血人形。+你的人格，你的記憶，你現在擁有的一切……都會全部消失。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:而你要我在徹底變成鐵血之前，把這裡的資料傳出去。
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:………………+我說過，從任務開始，你就已經無法回頭了……+M16，之後的你，就算還存在於世上，那也不是現在的你了……
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:…………+注射之後，我還有多少時間。
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:20分鐘。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:所以……這就是我最後的20分鐘了嗎……
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:M16A1，我是做好了準備，才決定這個行動的。+那麼，你準備好了嗎？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:你肯定清楚我的回答是什麼，帕斯卡……+不過最後確認一下，這個記憶體裡的東西，你確定能幫助M4恢復心智嗎？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:至少……這一定是最後一塊拼圖。
M16(0)<Speaker>M16A1</Speaker>||<黑屏1>:是嗎……+那接下來的事情……就變得簡單多了。+那麼現在，我們開始吧？
