()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:……
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN><SE1>AVG_Rain2</SE1>:……現在不是想她們的時候，鐵血的精銳還在附近。+專注你眼前的事情，把嘴閉上，跟我撤退。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN><黑屏1>:……+SOP2……+RO……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>0.8</黑屏2><黑屏1>2</黑屏1>:我……記得……+我看到RO她……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>:不行！我不能……不能丟下她們！+放下我，讓我回去！
AR15()<Speaker>AR15</Speaker>||<BIN>9</BIN>:別亂動！把你丟在這裡，你現在的狀態跑不出十步就會被鐵血抓到。
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:那我這個樣子，又是誰的錯！
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN><黑屏2><SE2>AVG_Rain2</SE2>:我們是為了破壞你和監視你的人之間的聯繫，才不得不強行切斷你的二級平層連線。
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:監視我的人？+……誰？誰在監視我？
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:你真的認為，我們的敵人只有鐵血而已嗎？
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:究竟……究竟是怎麼回事……+格里芬的任務……不就是消滅鐵血嗎……+我卻……我卻拋下了隊友，和目標……
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN><黑屏1>:無論你要做什麼，先休息吧。+你想要的力量，我們之後會給你的……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>:…………
AR15()<Speaker>AR15</Speaker>||<BIN>9</BIN>:M4？
AK12()<Speaker>AK12</Speaker>||<BIN>9</BIN><黑屏1>:她心智負擔太重，無法支持一級表層的意識了。
AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>99</BIN><黑屏2>:真是一團亂……+AK12，說吧，你在現場究竟調查到了什麼……
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:都是壞消息。+首先，M4 SOPMOD II失蹤了，可以確認不在這附近，周圍也沒有能判斷她此刻狀態的線索。
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:…………
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:我會不會說得太直接了？
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:直接一點好……+RO呢？我看到她……
AR15Mod(0)<Speaker></Speaker>;AK12(0)||<BIN>99</BIN>:……AK12嘆了口氣。
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:RO635完全停止了全部機能，所以……
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:……+我……絕對不會放過他們。+還有，我說過要回收陣亡人形的心智……
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:RO635的心智模組被人整個挖走了。+可以確認這是她陣亡之後發生的。
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:……+這會是個好消息嗎……
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:樂觀點想，也許SOP2躲過了偷襲，然後帶著RO的心智離開了。+這個答案你滿意嗎？
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:……+我很想做這樣的假設。
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:當然了，我建議你不要這樣想，以免希望落空。+不過稍後再思考別人的事吧。+前面十一點鐘五點鐘各有兩支鐵血小隊，而附近地形太糟糕了，我們繞不過去了，估計要動手。
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:你真的能一邊這樣說些有的沒的一邊偵查戰局嗎？
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:你在小看我嗎？還是高估你自己了？
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN><黑屏1>:都沒有，我們靠戰績來見分曉吧。
AR15()<Speaker>AR15</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:（M4……如果你知道現在AR小組的狀態……）+（你該……怎麼辦呢？）
