()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(0)||:確かにそうだ。//n彼の開発した鉄血人形のメンタルは我々IOPのものと比べても何ら遜色なかった。//n全く恐ろしい商売敵だったよ。+それで、君たちとあのルニシアは一体どういう関係だったのだね？
NPC-Havel(0);NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:彼女はただの所長の娘よ。+所長が面倒を見る暇もないほど忙しい時に、研究室へ来ていたの。//nたまに私たちとお喋りしたりもしたわ、家族のこととか。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(3)||:家族のこと？
NPC-Havel(0);NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:所長が彼女や弟のことをなおざりにするとぼやいていたの。//nすぐに街から引っ越すとも言ってた。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(3)||:当時、オーベルシュタインに対する非難が凄まじかったからな、//n遺跡局での評価も決して高くはなかった。+家族を引っ越させるのは大方バッシングを避けるためだろう。
NPC-Havel(0);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||:所長に何があったのか知らなかったとはいえ、//n私も良からぬことなのは察してた。+当時、所長の顔色はいつも良くなかったから、//nてっきり開発チームが解体されるのかと思っていたの。+それから間もなくして、ルニシアは研究院を去った。//n行く前に、彼女は私たちとこの写真を撮ったの。//nそれからは一度も会ってないわ……
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(0)||<BGM>BGM_Empty</BGM>:そうだったのか……//nそれで、ルニシアと君の造った人形にはどんな繋がりがある？
NPC-Havel(0);NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:……
NPC-Havel(0);NPC-Persica(3)<Speaker></Speaker>||<BGM>BGM_Sneak</BGM>:ペルシカは両手をきつく握った。//n後方へ置いていかれるビル群を見つめていた目線を、//nゆっくりと車の絨毯へ戻した。
NPC-Havel(0);NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:IOPへと入る前に、「ウィリアム」が連絡してきたの。
NPC-Havel(1)<Speaker>ハーヴェル</Speaker>;NPC-Persica(3)||:ほう？
NPC-Havel(1);NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:その時にはもうルニシアが病でこの世を去ったことは知っていた。//n私もリコも随分悲しんだわ。+けどある日突然、あの「ウィリアム」が急に連絡を寄越してきたの。+90wishに居たことは知っていたけど、私たち全員彼と面識はなかった。//nそれに話し方が鼻持ちならなくて、チーム内での評判も悪かった。+けど、彼の報告には驚かされた。//nリコのことを類まれな天才だと思ってたけど、//n彼はさらにその先をゆく存在だと思わされるほどに。
NPC-Havel(1)<Speaker>ハーヴェル</Speaker>;NPC-Persica(3)||<黑屏1>:君にそう言わせるんだ、//nきっと相当なものを見せつけられたんだろう。
()<Speaker>ペルシカ</Speaker>||<BIN>252</BIN><黑屏2>:彼は小包を送ってきたの。//n中には脳の情報配列をベースにしたデータブロックが入っていた。+データは極めて膨大だった、私もリコもあきれ返るほどに。+この人間の脳がベースとなった//n数値化アルゴリズムによって得られたデータが、//nどのようにして作られたのか、私たちには想像もできなかった。+彼は、このデータをもとに私たちにメンタルを造ってほしいと//n言っていた。そして私たちにデータを脳構造へと復元して欲しいとも。+私とリコはそれを見た後、ルニシアが私たちと過ごした時の記憶を//n解読によって得た。それで「ウィリアム」の目的を悟ったのよ。
()<Speaker>ハーヴェル</Speaker>||:人間の脳のデータを数値化？+ならあの人形たちは……
()<Speaker>ペルシカ</Speaker>||<黑屏1>:そうよ……//n当時は行動に移さなかったけど、最終的に私はその一歩を踏み出した。
NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||<BIN>166</BIN><黑屏2>:AR小隊がそのような理由で特別だったと思わなかった……+しかしもし行動に移したら、人形の体を使ったとて、//nそれはルニシアを復活させることに他ならないのではないか？+であれば、「ウィリアム」が//nオーベルシュタイン所長である可能性が濃厚になる。
NPC-Havel(1);NPC-Persica(2)<Speaker>ペルシカ</Speaker>||:当初、私たちもそう疑ったわ。//nでも所長はこの分野の研究を一貫して厳禁していたし、//n態度にも何の変化もなかった。+それに本当に彼なら、//nあなたはもう「ウィリアム」が何者であるか、調べがついているはずよ。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(2)||:君に隠しごとは出来んな。//nもうとっくに隅から隅まで調べ上げた。+しかし確かにあの所長には疑う余地はなかった。//nでなければ、のちに科学技術部部長になっていまい。
NPC-Havel(0);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||:所長が反対するのも分かるわ。//n人類の倫理や道徳に反しているもの。+私が開発をしたいと申し出た時、リコも頑として首を縦に振らなかった。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(0)||:そうか……//n鉄血を開発した人間がもっと積極的だとばかり思っていた。
NPC-Havel(0);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||:本当は、リコは内向的で保守的な性格なのよ。//n彼が嫌だと思ったことはどう説得しても無駄なの。+私は彼のことをよく知っていたから、例え私が行動に移したところで、//n彼は承諾しなかったのは分かっていたし、//n当時の私だけでは要件を満たせるメンタルモデルを作ることもできなかった。+だから「ウィリアム」のことを拒絶しかなかった。//n彼はすごく怒っていたわ。//n私たちに失望したと、代償を払わせてやるとね。+どうしてかは分からないけど、その時私は怒らなかった。+あの人はきっとルニシアをとても大切に思っていて、//n望みを全て私たちの託したのかもしれない。//nだからこそ、その望みが潰え、あそこまで怒ったのだろうと。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(0)||:その後。「ウィリアム」から連絡はあったのか？
NPC-Havel(0);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:いいえ、無かったわ……//n少なくとも直接連絡してきたのはこれきりね。+57年のグリフィンが襲撃に遭った数件の事件が起こるまでは。
()<Speaker>ハーヴェル</Speaker>||<BIN>102</BIN><回忆><黑屏2><BGM>BGM_Room</BGM>:児童がグリフィンのスタッフを襲ったという事件か？+事件の影響を鑑み、事件のファイルは全て消されたようだが。
()<Speaker>ペルシカ</Speaker>||<黑屏1>:でもオリジナルファイルは見たでしょう？
()<Speaker>ハーヴェル</Speaker>||<BIN>103</BIN><黑屏2><黑屏1>:アンジェが君に渡したファイルは私が集めたものだからな。
()<Speaker>ペルシカ</Speaker>||<BIN>104</BIN><黑屏2><黑屏1>:やっぱりね……+なら知ってるでしょう。あの子たちの脳のデータが、//n「ウィリアム」が私たちに送ったデータとほぼ一致していたことも。
()<Speaker>ハーヴェル</Speaker>||<BIN>105</BIN><黑屏2><黑屏1>:それは初耳だな。
()<Speaker>ペルシカ</Speaker>||<BIN>247</BIN><黑屏2>:あの時リコはもう居なかった。//n私は彼より優れていると証明するために、あのデータを使ったわ。//nAR小隊たちのような全く異なる人形を開発したのもそれが理由よ。+「ウィリアム」が再びルニシアの復活を目論んでいるのかとも考えたけど、//n当時の私はそこまでは重くは考えてなかった……+まさか彼らが本当にリコを手にかけるなんて……
()<Speaker>ハーヴェル</Speaker>||:君はリコが意図的に殺されたと考えているのか？
()<Speaker>ペルシカ</Speaker>||<黑屏1>:私もずっと真相を追っている。//nけど「ウィリアム」はずっと私たちを恨んでいたから、//nリコへ報復したとしてもおかしくはない。+リコの開発したエリザもきっと「ウィリアム」と関係があるはずよ。//nもしかするとルニシアとも。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<关闭蒙版><BIN>166</BIN><黑屏2>:つまり、君とリコは「ウィリアム」を拒絶したが、時が経ってみれば//n知らず知らずのうちに、彼の望みを叶えていたということか。+二人ともこうも意のままに操られたんだ、//n誰なのかは、見当がついてるんじゃないか？
NPC-Havel(0);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||:私が密かに行った調査によると、研究院には確かに除名された研究員がいたわ。//n名前は「ウィリアム」。+だけど、この人の情報はさっき私が話した以外、何も見つかっていない。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(0)||:君はその人間だと思っているのかね？
NPC-Havel(0);NPC-Persica(0)<Speaker>ペルシカ</Speaker>||:その可能性が非常に高いと思っている。//nあなたなら、彼を調べ上げて捕まえることができるでしょう？
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>;NPC-Persica(0)||<BGM>BGM_Empty</BGM>:残念だが、彼については我々も調査した。+が、何年も前に死んでいた。ルニシアよりさらに前に。
NPC-Havel(0);NPC-Persica(1)<Speaker>ペルシカ</Speaker>||<震屏>:なん……ですって？
NPC-Havel(1)<Speaker>ハーヴェル</Speaker>;NPC-Persica(1)||:この「ウィリアム」の身分を借りた誰かが、事を起こしているというだけだ。+そして元々の「ウィリアム」の情報は全て抹消されている、//nまるで存在しなかったかのようにな。+ここまでの情報操作能力を、一介の研究員が持ち合わせているとも思えん。
NPC-Havel(1);NPC-Persica(3)<Speaker>ペルシカ</Speaker>||<BGM>BGM_Brain</BGM>:なら……なら「ウィリアム」は一体誰なの？
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<黑屏1>:いつか知ることになるだろう、//nそしてその時はすぐに来ると私は思っている。
()<Speaker></Speaker>||<BIN>97</BIN><黑屏2>:車はあるビルの中で止まった。//nハーヴェルは車から降りると、周囲の黒衣の人物たちに手を振った。+屈強なボディガード数名が車へ乗り込むと、//nペルシカを乗せ、車はビルの奥へと向かう。+ハーヴェルはため息を吐くと、//n大きなフランス窓の外にある景色に目を向けた。
NPC-Havel(1)<Speaker>ハーヴェル</Speaker>||:頃合いか。
NPC-Havel(1)<Speaker></Speaker>||:それに答えるかのように、彼の携帯電話が鳴り響いた。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||:…………+ああ、私だ。+彼女の安全は確保した、最高レベルの保護を行う。+彼女は話した。我々の予想ともおおよそ一致している。+ああ、分かっている。保安局が攻撃命令を下したんだろう？+モスクワに血なまぐさい嵐が吹くな、//nもっとも、それもあの老いぼれどもが望んだことだが。+君の相棒は本当に目が利く、//nまさか本当に人形だけで軍を止めてしまうとは。+割の良い投資だが、半分は君が出してくれたまえよ。+そうだな、我々の古い仲間にも新鮮な空気を吸わせてやる頃合いだな。+うむ、すべては計画の内だが、追加で一つ頼みがある。+あの場所の研究資料を全て保安局に渡すのはやめてくれないか。+ああ、そうだ。//n遺跡局の人間が大層腹を立てるだろう、我々は先の情勢も読まねばならん。+財閥の資金は既にあの衰退国家から欧州に流れている。//n私の見立てではこれから新たな動きがあるはずだ。+あの邪教について今処理している暇はない。//nが、資金の動きに関してこれからも注視するさ、心配は無用だ。+そうだな。//nだから連盟がどう成立するかにかかっている。
NPC-Havel(0)<Speaker></Speaker>||<黑屏1>:話相手の言葉を聞き、ハーヴェルはくすりと笑った。
哈维尔()<Speaker>ハーヴェル</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:まったく、期待させてくれるな。
